U+174F  ,ᝏ  ,BUHID LETTER WA
U+1750  ,ᝐ  ,BUHID LETTER SA
U+1751  ,ᝑ  ,BUHID LETTER HA
U+1752  ,ᝒ   ,BUHID VOWEL SIGN I
U+1753  ,ᝓ   ,BUHID VOWEL SIGN U
U+1760  ,ᝠ  ,TAGBANWA LETTER A
U+1761  ,ᝡ  ,TAGBANWA LETTER I
U+1762  ,ᝢ  ,TAGBANWA LETTER U
U+1763  ,ᝣ  ,TAGBANWA LETTER KA
U+1764  ,ᝤ  ,TAGBANWA LETTER GA
U+1765  ,ᝥ  ,TAGBANWA LETTER NGA
U+1766  ,ᝦ  ,TAGBANWA LETTER TA
U+1767  ,ᝧ  ,TAGBANWA LETTER DA
U+1768  ,ᝨ  ,TAGBANWA LETTER NA
U+1769  ,ᝩ  ,TAGBANWA LETTER PA
U+176A  ,ᝪ  ,TAGBANWA LETTER BA
U+176B  ,ᝫ  ,TAGBANWA LETTER MA
U+176C  ,ᝬ  ,TAGBANWA LETTER YA
U+176E  ,ᝮ  ,TAGBANWA LETTER LA
U+176F  ,ᝯ  ,TAGBANWA LETTER WA
U+1770  ,ᝰ  ,TAGBANWA LETTER SA
U+1772  ,ᝲ   ,TAGBANWA VOWEL SIGN I
U+1773  ,ᝳ   ,TAGBANWA VOWEL SIGN U

U+17B4  ,឴   ,KHMER VOWEL INHERENT AQ
U+17B5  ,឵   ,KHMER VOWEL INHERENT AA

U+180B  ,᠋   ,MONGOLIAN FREE VARIATION SELECTOR ONE
U+180C  ,᠌   ,MONGOLIAN FREE VARIATION SELECTOR TWO
U+180D  ,᠍   ,MONGOLIAN FREE VARIATION SELECTOR THREE
U+1878  ,ᡸ  ,MONGOLIAN LETTER CHA WITH TWO DOTS

U+1900  ,ᤀ  ,LIMBU VOWEL-CARRIER LETTER
U+1901  ,ᤁ  ,LIMBU LETTER KA
U+1902  ,ᤂ  ,LIMBU LETTER KHA
U+1903  ,ᤃ  ,LIMBU LETTER GA
U+1904  ,ᤄ  ,LIMBU LETTER GHA
U+1905  ,ᤅ  ,LIMBU LETTER NGA
U+1906  ,ᤆ  ,LIMBU LETTER CA
U+1907  ,ᤇ  ,LIMBU LETTER CHA
U+1908  ,ᤈ  ,LIMBU LETTER JA
U+1909  ,ᤉ  ,LIMBU LETTER JHA
U+190A  ,ᤊ  ,LIMBU LETTER YAN
U+190B  ,ᤋ  ,LIMBU LETTER TA
U+190C  ,ᤌ  ,LIMBU LETTER THA
U+190D  ,ᤍ  ,LIMBU LETTER DA
U+190E  ,ᤎ  ,LIMBU LETTER DHA
U+190F  ,ᤏ  ,LIMBU LETTER NA
U+1910  ,ᤐ  ,LIMBU LETTER PA
U+1911  ,ᤑ  ,LIMBU LETTER PHA
U+1912  ,ᤒ  ,LIMBU LETTER BA
U+1913  ,ᤓ  ,LIMBU LETTER BHA
U+1914  ,ᤔ  ,LIMBU LETTER MA
U+1915  ,ᤕ  ,LIMBU LETTER YA
U+1916  ,ᤖ  ,LIMBU LETTER RA
U+1917  ,ᤗ  ,LIMBU LETTER LA
U+1918  ,ᤘ  ,LIMBU LETTER WA
